molecule,solvent,label
CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)N3C4=C(C)C=C3/C=C/C5=CC=C(N(C)C)C=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6,O,664
CC1=CC(/C=C/C2=CC(OC)=C(N(CC)CC)C=C2)=[N+]([B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)N3C4=C(C)C=C3/C=C/C5=CC=C(N(CC)CC)C(OC)=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6,CCO,714
CC1=CC(/C=C/C2=CC(OC)=C(N(CC)CC)C=C2)=[N+]([B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)N3C4=C(C)C=C3/C=C/C5=CC=C(N(CC)CC)C(OC)=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6,O,697
CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](F)(F)N3C4C(C)C=C3/C=C/C5=CC=C(N(C)C)C=C5)C1=C4C6=CC=C(CN(CC7=NC=CC=C7)CC8=CC=CC=N8)C=C6,ClCCl,703
CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](F)(F)N3C4C(C)C=C3/C=C/C5=CC=C(N(C)C)C=C5)C1=C4C6=CC=C(CN(CC7=NC=CC=C7)CC8=CC=CC=N8)C=C6,CC#N,696
CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](F)(F)N3C4C(C)C=C3/C=C/C5=CC=C(N(C)C)C=C5)C1=C4C6=CC=C(CN(CC7=NC=CC=C7)CC8=CC=CC=N8)C=C6,C1CCCO1,695
CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](F)(F)N3C4C(C)C=C3/C=C/C5=CC=C(N(C)C)C=C5)C1=C4C6=CC=C(CN(CC7=NC=CC=C7)CC8=CC=CC=N8)C=C6,CS(C)=O,716
CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](F)(F)N3C4C(C)C=C3/C=C/C5=CC=C(N(C)C)C=C5)C1=C4C6=CC=C(CN(CC7=NC=CC=C7)CC8=CC=CC=N8)C=C6,CCO,698
CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](F)(F)N3C4C(C)C=C3/C=C/C5=CC=C(N(C)C)C=C5)C1=C4C6=CC=C(CN(CC7=NC=CC=C7)CC8=CC=CC=N8)C=C6,O,724
CC(C=C1/C=C/C2=CC=CN2CC#C)=C(N1[B-]3(F)F)C(C4=CC=C(C(OC)=O)C=C4)=C5[N+]3=C(/C=C/C6=CC=CN6CC#C)C=C5C,[H]C(N(C)C)=O,695
CC(C=C1/C=C/C2=CC=CN2CC3=CN(CCOCCOCCOCCOC)N=N3)=C(N1[B-]4(F)F)C(C5=CC=C(C(OC)=O)C=C5)=C6[N+]4=C(/C=C/C7=CC=CN7CC8=CN(CCOCCOCCOCCOC)N=N8)C=C6C,CC1=CC=CC=C1,697
CC1=CC=CC(C)=C1C(C2=CC=C(C3=CC=C(C4=CC=C(OC)C=C4)S3)N2[B-]5(F)F)=C6[N+]5=C(C7=CC=C(C8=CC=C(OC)C=C8)S7)C(C9=CC%10=C(C(NNC%10=O)=O)C=C9)=C6,CS(C)=O,670
CC1=CC=CC(C)=C1C(C2=CC=C(C3=CC=C(C4=CC=C(NC(OC(C)(C)C)=O)C=C4)S3)N2[B-]5(F)F)=C6[N+]5=C(C7=CC=C(C8=CC=C(NC(OC(C)(C)C)=O)C=C8)S7)C(C9=CC%10=C(C(NNC%10=O)=O)C=C9)=C6,CC(C)=O,662
CC1=CC=CC(C)=C1C(C2=CC=C(C3=CC=C(C4=CC=C(NC(OC(C)(C)C)=O)C=C4)S3)N2[B-]5(F)F)=C6[N+]5=C(C7=CC=C(C8=CC=C(NC(OC(C)(C)C)=O)C=C8)S7)C(C9=CC%10=C(C(NNC%10=O)=O)C=C9)=C6,CS(C)=O,678
CC1=CC=CC(C)=C1C(C2=CC=C(C3=CC=C(C4=CC=C(NC(OC(C)(C)C)=O)C=C4)S3)N2[B-]5(F)F)=C6[N+]5=C(C7=CC=C(C8=CC=C(NC(OC(C)(C)C)=O)C=C8)S7)C=C6,ClCCl,691
F[B-]1(F)[N+]2=C(C3=C4C=CC=C3)C(C(C5=CC=CC=C5)=C4C6=CC=CC=C6)=CC2=C(C7=CC=CC=C7)C8=CC9=C(C(C%10=CC=CC=C%10)=C(C%11=CC=CC=C%11)C%12=C9C=CC=C%12)N18,ClCCl,553
F[B-]1(F)[N+]2=C(C3=CC=C(N(C)C)C=C3)C=CC2=C(C4=CC=CC=C4)C5=CC6=C(C=CC=C6)N15,ClCCl,626
F[B-]1(F)[N+]2=C(C3=C4C=CC=C3)C(C(C5=CC=CC=C5)=C4C6=CC=CC=C6)=CC2=C(C7=CC=CC=C7)C8=CC9=C(C(C%10=CC=CC=C%10)=C(C%11=CC=CC=C%11)C%12=C9C=CC=C%12)N18,C1CCCO1,674
F[B-]([N+]1=C(C(C=CC(C(C)(C)C)=C2)=C2C3=C4C=CC(C(C)(C)C)=C3)C4=CC1=C5CC(/C=C(C)/C)=O)(F)N6C5=CC7=C6C8=C(C=C(C(C)(C)C)C=C8)C9=C7C=CC(C(C)(C)C)=C9,CC1=CC=CC=C1,698
F[B-]([N+]1=C(C(C=C(OC)C=C2)=C2C3=C4C=C(OC)C=C3)C4=CC1=C5CC(/C=C(C)/C)=O)(F)N6C5=CC7=C6C8=C(C=CC(OC)=C8)C9=C7C=C(OC)C=C9,CC1=CC=CC=C1,682
F[B-]([N+]1=C(C(C=C(OC)C(OC)=C2OC)=C2C3=C4C=C(OC)C(OC)=C3OC)C4=CC1=C5CC(/C=C(C)/C)=O)(F)N6C5=CC7=C6C8=C(C(OC)=C(OC)C(OC)=C8)C9=C7C=C(OC)C(OC)=C9OC,CC1=CC=CC=C1,740
F[B-]([N+]1=C(C(NC=C2C(C)C)=C2C3=C4C=CC=C3)C4=C(C(C)C)C1=C5)(F)N6C5=C(C(C)C)C7=C6C8=C(C(C(C)C)=CN8)C9=C7C=CC=C9,CC1=CC=CC=C1,730
F[B-]([N+]1=C(C=C(C2=CC=C(OC)C=C2)O3)C3=CC1=C4C(F)(F)F)(F)N5C4=CC6=C5C=C(C7=CC=C(OC)C=C7)O6,ClC(Cl)Cl,723
F[B-]([N+]1=C(C=C(C2=C(OC)C=C(OC)C=C2)O3)C3=CC1=C4)(F)N5C4=CC6=C5C=C(C7=CC=C(OC)C=C7OC)O6,ClC(Cl)Cl,690
F[B-]([N+]1=C(C(C=CC2=C3C=CC=C2)=C3O4)C4=CC1=C5C(F)(F)F)(F)N6C5=CC7=C6C8=C(C(C=CC=C9)=C9C=C8)O7,ClCCl,694
F[B-]([N+]1=C(C(C2=CC=C(OC)C=C2)=C(C3=CC=C(OC)C=C3)S4)C4=C(C5=CC=C(OC)C=C5)C1=C6)(F)N7C6=C(C8=CC=C(OC)C=C8)C9=C7C(C%10=CC=C(OC)C=C%10)=C(C%11=CC=C(OC)C=C%11)S9,ClC(Cl)Cl,677
FC(C=C1)=CC=C1C(S2)=CC(C2=C3)=[N+](C3=C4C(F)(F)F)[B-](F)(F)N5C4=CC6=C5C=C(C7=CC=C(F)C=C7)S6,ClCCl,698
F[B-]([N+]1=C(C=C(C2=CC=CC=C2)S3)C3=CC1=C4C(F)(F)F)(F)N5C4=CC6=C5C=C(C7=CC=CC=C7)S6,ClCCl,688
CC(C=C1)=CC=C1C(S2)=CC(C2=C3)=[N+](C3=C4C(F)(F)F)[B-](F)(F)N5C4=CC6=C5C=C(C7=CC=C(C)C=C7)S6,ClCCl,709
F[B-]([N+]1=C(C=C(C2=CC=C(OC)C=C2)S3)C3=CC1=C4C(F)(F)F)(F)N5C4=CC6=C5C=C(C7=CC=C(OC)C=C7)S6,ClCCl,731
OC(C=C1)=CC=C1C(S2)=CC(C2=C3)=[N+](C3=C4C(F)(F)F)[B-](F)(F)N5C4=CC6=C5C=C(C7=CC=C(O)C=C7)S6,ClCCl,738
F[B-]([N+]1=C(SC(C2=CC=C(C(C)(C)C)C=C2)=C3C4=CC=C(C(C)(C)C)C=C4)C3=C(C5=CC=C(C(C)(C)C)C=C5)C1=C6C(F)(F)F)(F)N7C6=C(C8=CC=C(C(C)(C)C)C=C8)C9=C7SC(C%10=CC=C(C(C)(C)C)C=C%10)=C9C%11=CC=C(C(C)(C)C)C=C%11,ClC(Cl)Cl,628
F[B-]([N+]1=C(SC(C2=CC=C(OC)C=C2)=C3C4=CC=C(OC)C=C4)C3=C(C5=CC=C(OC)C=C5)C1=C6C(F)(F)F)(F)N7C6=C(C8=CC=C(OC)C=C8)C9=C7SC(C%10=CC=C(OC)C=C%10)=C9C%11=CC=C(OC)C=C%11,ClC(Cl)Cl,622
F[B-]([N+]1=C(C(SC=C2)=C2S3)C3=CC1=C4C(F)(F)F)(F)N5C4=CC6=C5C7=C(C=CS7)S6,CC1=CC=CC=C1,699
F[B-]([N+]1=C(C(SC(I)=C2)=C2S3)C3=CC1=C4C(F)(F)F)(F)N5C4=CC6=C5C7=C(C=C(I)S7)S6,CC1=CC=CC=C1,726
F[B-]([N+]1=C(C)C=C(C)C1=C2C3=CC=CC=C3)(F)N4C2=CC5=C4C6=C(C=C(N(CC)CC)C=C6)OC5=O,ClCCl,606
BrC(C=C1)=CC=C1C2=CC(C3=CC=C(OC)C=C3)=[N+]4C2=NC5=C(C6=CC=C(Br)C=C6)C=C(C7=CC=C(OC)C=C7)N5[B-]4(C#CC[N+](CC8=CC=C(C(O)=O)C=C8)(C)C)C#CC[N+](C)(C)CC9=CC=C(C(O)=O)C=C9,CS(C)=O,704
BrC(C=C1)=CC=C1C2=CC(C3=CC=C(OC)C=C3)=[N+]4C2=NC5=C(C6=CC=C(Br)C=C6)C=C(C7=CC=C(OC)C=C7)N5[B-]4(C#CC[N+](CC8=CC=C(C(NCCNC(CN9CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC9)=O)=O)C=C8)(C)C)C#CC[N+](C)(C)CC%10=CC=C(C(NCCNC(CN%11CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC%11)=O)=O)C=C%10,CS(C)=O,705
BrC(C=C1)=CC=C1C2=CC(C3=CC=C(OC)C=C3)=[N+]4C2=NC5=C(C6=CC=C(Br)C=C6)C=C(C7=CC=C(OC)C=C7)N5[B-]4(C#CC[N+](CC8=CC=C(C(NCCNC(CN9CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC9)=O)=O)C=C8)(C)C)C#CC[N+](C)(C)CC%10=CC=C(C(NCCNC(CN%11CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC%11)=O)=O)C=C%10,O,705
